Year,Metric Tons,,
1952,"43,24",,
1953,"50,63",,
1954,"55,87",,
1955,"159,07",,
1956,"199,44",,
1957,"85,87",,
1958,"353,64",,
1959,"492,03",,
1960,"205,82",,
1961,"380,43",,
1962,"270,01",,
1963,"295,44",,
1964,"571,73",,
1965,"272,48",,
1966,"352,26",,
1967,"351,15",,
1968,"382,59",,
1969,"157,5",,
1970,"301,32",,
1971,"333,51",,
1972,"232,38",,
1973,"242,98",,
1974,"235,03",,
1975,"173,3",,
1976,"260,66",,
1977,"137,59",,
1978,"188,89",,
1979,"293,42",,
1980,"355,55",,
1981,"375,44",,
1982,"218,58",,
1983,"89,51",,
1984,"234,76",,
1985,250.00,,
1986,"246,41",,
1987,317.00,,
1988,"230,23",,
1989,"252,1",,
1990,"95,99",,
1991,"193,07",,
1992,172.21,, 
1993,214.80,,
1994,145.54,,
1995,279.67,,
1996,330.73,,
1997,291.25,,
1998,297.33,,
1999,399.88,,
2000,222.27,,
2001,127.54,,
2002,181.32,,
2003,192.63,,
2004,181.14,,
2005,218.35,,
2006,227.67,,
2007,194.40,,
2008,163.57,,
2009,155.19,,
2010,182.12,,
2011,202.00,,
2012,134.95,,
2013,123.00,,